place_id,canonical_name,grade,era,url,status
P016,막벨라굴,A,족장시대,https://m.blog.naver.com/shyunya/40170890292?view=img_3,user_provided_pending_visual_qa
P017,마므레,A,족장시대,https://m.blog.naver.com/dkramy/221894781189?view=img_1,user_provided_pending_visual_qa
P018,브니엘,A,족장시대,https://m.blog.naver.com/dkramy/221949677320?view=img_1,user_provided_pending_visual_qa
P019,브엘라해로이,A,족장시대,https://m.blog.naver.com/chfather/220879776781?view=img_2,user_provided_pending_visual_qa
P020,모리아산,A,족장시대,https://m.blog.naver.com/jskang4u/222481586201?view=img_6,user_provided_pending_visual_qa
P022,람셋,A,출애굽시대,https://m.blog.naver.com/sjk2100/222254468154?view=img_1,user_provided_pending_visual_qa
P024,에담,A,"출애굽시대,구약",https://m.blog.naver.com/samhoung/222093085004?view=img_1,user_provided_pending_visual_qa
P026,마라,A,"출애굽시대,구약",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiwQmmq-MEc24aLxvNLrCJpmnNaD-XwBXlen2qDSLIaGgBQo9VFbTmNXuwNW_ixf-kTqD6rYu-UmjosB-TjuBqhj3egk9MpEarFswOwXg8Cs8X8o8PGzVI-lpJ4LBmbs02b9uFnqIK1SOHf/s1600/%25EC%25B6%259C%25EC%2595%25A0%25EA%25B5%25BD+%25EA%25B2%25BD%25EB%25A1%259C.jpg,user_provided_pending_visual_qa
P027,엘림,A,"출애굽시대,구약",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiwQmmq-MEc24aLxvNLrCJpmnNaD-XwBXlen2qDSLIaGgBQo9VFbTmNXuwNW_ixf-kTqD6rYu-UmjosB-TjuBqhj3egk9MpEarFswOwXg8Cs8X8o8PGzVI-lpJ4LBmbs02b9uFnqIK1SOHf/s1600/%25EC%25B6%259C%25EC%2595%25A0%25EA%25B5%25BD+%25EA%25B2%25BD%25EB%25A1%259C.jpg,user_provided_pending_visual_qa
P029,르비딤,A,"출애굽시대,구약",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiwQmmq-MEc24aLxvNLrCJpmnNaD-XwBXlen2qDSLIaGgBQo9VFbTmNXuwNW_ixf-kTqD6rYu-UmjosB-TjuBqhj3egk9MpEarFswOwXg8Cs8X8o8PGzVI-lpJ4LBmbs02b9uFnqIK1SOHf/s1600/%25EC%25B6%259C%25EC%2595%25A0%25EA%25B5%25BD+%25EA%25B2%25BD%25EB%25A1%259C.jpg,user_provided_pending_visual_qa
P032,에돔 국경,A,출애굽시대,https://m.blog.naver.com/samhoung/222392711427?view=img_1,user_provided_pending_visual_qa
P033,놋뱀 광야,A,출애굽시대,https://m1.daumcdn.net/cfile267/image/165DF949516C71750DCDE6,user_provided_pending_visual_qa
P036,모압 평지,S,출애굽시대,https://mblogthumb-phinf.pstatic.net/MjAxNzA5MjJfMTA2/MDAxNTA2MDU0MzI4MTQ3.YYUH-GzRJcyOFSU_wwGLdMkuywRxzjqU_34QgdEF1l4g.LCFh9_cmMtTGq-vbMFDSl-PbMfVHvoIZ0Uy1pmN8Fswg.JPEG.imillera/%EA%B0%80%EB%82%98%EC%95%88%EB%95%85%EC%9E%85%EA%B5%AC.jpg?type=w800,user_provided_pending_visual_qa
P044,아얄론 골짜기,A,"정복시대,구약",https://blog.naver.com/PostView.naver?blogId=histigma_j&logNo=221362421697&categoryNo=24&parentCategoryNo=0&photoView=2,user_provided_pending_visual_qa
P046,보김,A,사사시대,https://m.blog.naver.com/skjung2205/222715803264?view=img_6,user_provided_pending_visual_qa
P048,오브라,A,"사사시대,구약",https://newsx.ecn.cdn.infralab.net/www.newspower.co.kr/imgdata/newspower_co_kr/201905/201905065820684.jpg,user_provided_pending_visual_qa
P049,소렉 골짜기,A,사사시대,https://blog.naver.com/PostView.naver?blogId=histigma_j&logNo=221362421697&categoryNo=24&parentCategoryNo=0&photoView=2,user_provided_pending_visual_qa
P054,시온산,S,"통일왕국시대,분열왕국시대",https://image.kmib.co.kr/online_image/2020/0204/612212110014174684_4.jpg,user_provided_pending_visual_qa
