place_id,canonical_name,grade,map_search_coverage,reason
P016,막벨라굴,A,,No direct BMPI URL link in place-map-links-master
P017,마므레,A,,No direct BMPI URL link in place-map-links-master
P018,브니엘,A,,No direct BMPI URL link in place-map-links-master
P019,브엘라해로이,A,,No direct BMPI URL link in place-map-links-master
P020,모리아산,A,,No direct BMPI URL link in place-map-links-master
P022,람셋,A,,No direct BMPI URL link in place-map-links-master
P024,에담,A,,No direct BMPI URL link in place-map-links-master
P026,마라,A,,No direct BMPI URL link in place-map-links-master
P027,엘림,A,,No direct BMPI URL link in place-map-links-master
P029,르비딤,A,,No direct BMPI URL link in place-map-links-master
P032,에돔 국경,A,,No direct BMPI URL link in place-map-links-master
P033,놋뱀 광야,A,,No direct BMPI URL link in place-map-links-master
P036,모압 평지,S,,No direct BMPI URL link in place-map-links-master
P044,아얄론 골짜기,A,,No direct BMPI URL link in place-map-links-master
P046,보김,A,,No direct BMPI URL link in place-map-links-master
P048,오브라,A,,No direct BMPI URL link in place-map-links-master
P049,소렉 골짜기,A,,No direct BMPI URL link in place-map-links-master
P054,시온산,S,,No direct BMPI URL link in place-map-links-master
P055,기브온 산당,A,,No direct BMPI URL link in place-map-links-master
P062,예스르엘,S,,No direct BMPI URL link in place-map-links-master
P064,히스기야 수로,S,,No direct BMPI URL link in place-map-links-master
P065,예루살렘,SS,,No direct BMPI URL link in place-map-links-master
P067,그발 강,S,,No direct BMPI URL link in place-map-links-master
P069,감람산,S,,No direct BMPI URL link in place-map-links-master
P072,유대 광야,S,,No direct BMPI URL link in place-map-links-master
P078,막달라,A,,No direct BMPI URL link in place-map-links-master
P080,세겜,SS,,No direct BMPI URL link in place-map-links-master
P082,겟세마네,SS,,No direct BMPI URL link in place-map-links-master
P083,골고다,SSS,,No direct BMPI URL link in place-map-links-master
P085,마가의 다락방,SS,,No direct BMPI URL link in place-map-links-master
P098,밧모,SS,,No direct BMPI URL link in place-map-links-master
P099,에덴 동산,SSS,,No direct BMPI URL link in place-map-links-master
P100,에덴 동쪽,A,,No direct BMPI URL link in place-map-links-master
P102,변화산,S,,No direct BMPI URL link in place-map-links-master
P103,가사로 가는 길,A,,No direct BMPI URL link in place-map-links-master
P108,골로새,A,,No direct BMPI URL link in place-map-links-master
P110,우스 땅,A,,No direct BMPI URL link in place-map-links-master
P357,아둘람 굴,,pending_map_link,No direct BMPI URL link in place-map-links-master
P358,기럇여아림,,pending_map_link,No direct BMPI URL link in place-map-links-master
P359,엘라 골짜기,,pending_map_link,No direct BMPI URL link in place-map-links-master
P360,소돔과 고모라,,pending_map_link,No direct BMPI URL link in place-map-links-master
P361,놉,,pending_map_link,No direct BMPI URL link in place-map-links-master
P362,멜리데섬,,pending_map_link,No direct BMPI URL link in place-map-links-master
P363,히에라볼리,,pending_map_link,No direct BMPI URL link in place-map-links-master
P364,기손강,,pending_map_link,No direct BMPI URL link in place-map-links-master
P365,엑바타나,,pending_map_link,No direct BMPI URL link in place-map-links-master
P366,그일라,,pending_map_link,No direct BMPI URL link in place-map-links-master
P367,십 광야,,pending_map_link,No direct BMPI URL link in place-map-links-master
P368,마온 광야,,pending_map_link,No direct BMPI URL link in place-map-links-master
P369,디스베,,pending_map_link,No direct BMPI URL link in place-map-links-master
P370,야베스 길르앗,,pending_map_link,No direct BMPI URL link in place-map-links-master
P371,아세가,,pending_map_link,No direct BMPI URL link in place-map-links-master
P372,마레사,,pending_map_link,No direct BMPI URL link in place-map-links-master
P373,모레셋,,pending_map_link,No direct BMPI URL link in place-map-links-master
P374,베데스다,,pending_map_link,No direct BMPI URL link in place-map-links-master
P375,실로암 못,,pending_map_link,No direct BMPI URL link in place-map-links-master
P376,기드론 골짜기,,pending_map_link,No direct BMPI URL link in place-map-links-master
P377,힌놈의 골짜기,,pending_map_link,No direct BMPI URL link in place-map-links-master
P378,뱃새다,,pending_map_link,No direct BMPI URL link in place-map-links-master
P379,나인 성,,pending_map_link,No direct BMPI URL link in place-map-links-master
P380,수가 성,,pending_map_link,No direct BMPI URL link in place-map-links-master
P381,보스라,,pending_map_link,No direct BMPI URL link in place-map-links-master
P382,세렛 시내,,pending_map_link,No direct BMPI URL link in place-map-links-master
P383,믹돌,,pending_map_link,No direct BMPI URL link in place-map-links-master
P384,디벨라다임,,pending_map_link,No direct BMPI URL link in place-map-links-master
P385,아바림산,,pending_map_link,No direct BMPI URL link in place-map-links-master
P386,아로에르,,pending_map_link,No direct BMPI URL link in place-map-links-master
P387,야하스,,pending_map_link,No direct BMPI URL link in place-map-links-master
P388,야셀,,pending_map_link,No direct BMPI URL link in place-map-links-master
P389,살가,,pending_map_link,No direct BMPI URL link in place-map-links-master
P390,아이 성,,pending_map_link,No direct BMPI URL link in place-map-links-master
P391,마게다,,pending_map_link,No direct BMPI URL link in place-map-links-master
P392,디벳,,pending_map_link,No direct BMPI URL link in place-map-links-master
P393,소라,,pending_map_link,No direct BMPI URL link in place-map-links-master
P394,딤나,,pending_map_link,No direct BMPI URL link in place-map-links-master
P395,레히,,pending_map_link,No direct BMPI URL link in place-map-links-master
P396,엔학고레,,pending_map_link,No direct BMPI URL link in place-map-links-master
P397,에담 바위,,pending_map_link,No direct BMPI URL link in place-map-links-master
P398,믹마스,,pending_map_link,No direct BMPI URL link in place-map-links-master
P399,아말렉 광야,,pending_map_link,No direct BMPI URL link in place-map-links-master
P400,라마 나욧,,pending_map_link,No direct BMPI URL link in place-map-links-master
P401,하길라산,,pending_map_link,No direct BMPI URL link in place-map-links-master
P402,바할림,,pending_map_link,No direct BMPI URL link in place-map-links-master
P403,아벨 벧마아가,,pending_map_link,No direct BMPI URL link in place-map-links-master
P404,기브온 못,,pending_map_link,No direct BMPI URL link in place-map-links-master
P405,시온 성,,pending_map_link,No direct BMPI URL link in place-map-links-master
P406,아라우나 타작마당,,pending_map_link,No direct BMPI URL link in place-map-links-master
P407,기혼 샘,,pending_map_link,No direct BMPI URL link in place-map-links-master
P408,엔로겔,,pending_map_link,No direct BMPI URL link in place-map-links-master
P409,다윗 성,,pending_map_link,No direct BMPI URL link in place-map-links-master
P410,담방,,pending_map_link,No direct BMPI URL link in place-map-links-master
P411,호렙산 동굴,,pending_map_link,No direct BMPI URL link in place-map-links-master
P412,나봇의 포도원,,pending_map_link,No direct BMPI URL link in place-map-links-master
P413,바알 살리사,,pending_map_link,No direct BMPI URL link in place-map-links-master
P414,디브온,,pending_map_link,No direct BMPI URL link in place-map-links-master
P415,스바,,pending_map_link,No direct BMPI URL link in place-map-links-master
P416,오빌,,pending_map_link,No direct BMPI URL link in place-map-links-master
P417,다시스,,pending_map_link,No direct BMPI URL link in place-map-links-master
P418,욥바 항구,,pending_map_link,No direct BMPI URL link in place-map-links-master
P419,울래 강가,,pending_map_link,No direct BMPI URL link in place-map-links-master
P420,빌립보 감옥,,pending_map_link,No direct BMPI URL link in place-map-links-master
P421,아레오바고,,pending_map_link,No direct BMPI URL link in place-map-links-master
P422,겐그레아 교회,,pending_map_link,No direct BMPI URL link in place-map-links-master
P423,에브라임 광야,,pending_map_link,No direct BMPI URL link in place-map-links-master
P424,디베랴 바다,,pending_map_link,No direct BMPI URL link in place-map-links-master
P425,벳새다 광야,,pending_map_link,No direct BMPI URL link in place-map-links-master
P426,두로와 시돈 지경,,pending_map_link,No direct BMPI URL link in place-map-links-master
P427,달마누다 지방,,pending_map_link,No direct BMPI URL link in place-map-links-master
P428,야곱의 우물,,pending_map_link,No direct BMPI URL link in place-map-links-master
P429,요단강 건너편 베다니,,pending_map_link,No direct BMPI URL link in place-map-links-master
