place_id,canonical_name,qa_kind,qa_status,before_link_count,after_link_count,action,added_map_id,added_map_title,added_url
P126,가드,bmpi,no_label,5,1,added_google_fallback,GOOGLE-QA-REPAIR-P126,Google Maps 검색: 가드,https://www.google.com/maps/search/?api=1&query=%EA%B0%80%EB%93%9C
P121,가사,bmpi,no_label,7,1,added_google_fallback,GOOGLE-QA-REPAIR-P121,Google Maps 검색: 가사,https://www.google.com/maps/search/?api=1&query=%EA%B0%80%EC%82%AC
P103,가사로 가는 길,bmpi,no_label,1,1,removed_failed_links_kept_other_links,,,
P152,게셀,bmpi,no_label,3,1,added_google_fallback,GOOGLE-QA-REPAIR-P152,Google Maps 검색: 게셀,https://www.google.com/maps/search/?api=1&query=%EA%B2%8C%EC%85%80
P215,겐그레아,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P215,Google Maps 검색: 겐그레아,https://www.google.com/maps/search/?api=1&query=%EA%B2%90%EA%B7%B8%EB%A0%88%EC%95%84
P082,겟세마네,bmpi,no_label,1,1,removed_failed_links_kept_other_links,,,
P216,고라신,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P216,Google Maps 검색: 고라신,https://www.google.com/maps/search/?api=1&query=%EA%B3%A0%EB%9D%BC%EC%8B%A0
P083,골고다,bmpi,no_label,0,1,added_google_fallback,GOOGLE-QA-REPAIR-P083,Google Maps 검색: 골고다,https://www.google.com/maps/search/?api=1&query=%EA%B3%A8%EA%B3%A0%EB%8B%A4
P052,기브아,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P052,Google Maps 검색: 기브아,https://www.google.com/maps/search/?api=1&query=%EA%B8%B0%EB%B8%8C%EC%95%84
P061,길르앗 라못,bmpi,no_label,5,1,added_google_fallback,GOOGLE-QA-REPAIR-P061,Google Maps 검색: 길르앗 라못,https://www.google.com/maps/search/?api=1&query=%EA%B8%B8%EB%A5%B4%EC%95%97%20%EB%9D%BC%EB%AA%BB
P227,길헤레스,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P227,Google Maps 검색: 길헤레스,https://www.google.com/maps/search/?api=1&query=%EA%B8%B8%ED%97%A4%EB%A0%88%EC%8A%A4
P228,깁브돈,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P228,Google Maps 검색: 깁브돈,https://www.google.com/maps/search/?api=1&query=%EA%B9%81%EB%B8%8C%EB%8F%88
P230,나인,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P230,Google Maps 검색: 나인,https://www.google.com/maps/search/?api=1&query=%EB%82%98%EC%9D%B8
P231,나헷,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P231,Google Maps 검색: 나헷,https://www.google.com/maps/search/?api=1&query=%EB%82%98%ED%97%B7
P233,니도,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P233,Google Maps 검색: 니도,https://www.google.com/maps/search/?api=1&query=%EB%8B%88%EB%8F%84
